All values,,,,,,,,,,,,,,,,
324,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,
333,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,
309,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,
309,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,
357,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,
317,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,
309,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,
369,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,
361,,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,
308,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,
