GLATOS_ARRAY,OTN_ARRAY,STATION_NO,CONSECUTIVE_DEPLOY_NO,MOORING_DROP_DEAD_DATE,INTEND_LAT,INTEND_LONG,OTN_MISSION_ID,DEPLOY_DATE_TIME,GLATOS_DEPLOY_DATE_TIME,GLATOS_TIMEZONE,DEPLOY_LAT,DEPLOY_LONG,BOTTOM_DEPTH,RISER_LENGTH,INSTRUMENT_DEPTH,CHECWLK_COMPLETE_TIME,STATUS_IN,INS_MODEL_NO,GLATOS_INS_FREQUENCY,INS_SERIAL_NO,RCV_MODEM_ADDRESS,SYNC_DATE_TIME,MEMORY_ERASED_AT_DEPLOY,RCV_BATTERY_INSTALL_DATE,RCV_EXPECTED_BATTERY_LIFE,RCV_VOLTAGE_AT_DEPLOY,RCV_TILT_AFTER_DEPLOY,DEPLOYED_BY,COMMENTS,GLATOS_SEASONAL,GLATOS_PROJECT,GLATOS_VPS
EAB,W10-EB5,5,9,,,,,,06/16/2023 18:00,Eastern,44.04847,-76.70177,27,,,,,VR2W,69,483751,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
EAB,W13-EB8,8,9,,,,,,06/16/2023 18:00,Eastern,44.04782,-76.60072,33.5,,,,,VR2W,69,483747,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
EAB,W14-EB9,9,9,,,,,,06/14/2023 18:00,Eastern,44.09778,-76.60032,33,,,,,VR2W,69,481256,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
EAB,W6-EB1,1,10,,,,,,06/16/2023 18:00,Eastern,43.99907,-76.80248,32,,,,,VR2Tx,69,482002,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
EAB,W7-EB2,2,9,,,,,,06/16/2023 18:00,Eastern,44.04937,-76.80135,30,,,,,VR2W,69,126964,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
HOW,,1,8,,,,,,06/09/2023 18:00,Eastern,44.24163,-76.33552,8,,,,,VR2W,69,486584,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
CPV,W24-CPV1,1,6,,,,,,05/26/2023 18:00,Eastern,44.13025,-76.3573,20,,,,,VR2W,69,128773,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
CPV,W25-CPV2,2,6,,,,,,05/26/2023 18:00,Eastern,44.13025,-76.3573,20,,,,,VR2W,69,126975,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
LND,W26-LND1,1,6,,,,,,05/26/2023 18:00,Eastern,44.21253,-76.21327,26,,,,,VR2Tx,69,481249,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
FAS,,10,3,,,,,,10/04/2023 18:00,Eastern,44.23349,-76.26974,12,,,,,VR2AR,69,550336,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
FAS,,7,3,,,,,,10/04/2023 18:00,Eastern,44.25803,-76.27308,13,,,,,VR2AR,69,550335,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
FAS,,8,3,,,,,,10/04/2023 18:00,Eastern,44.24966,-76.24442,14,,,,,VR2AR,69,550344,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
FAS,,11,3,,,,,,10/04/2023 18:00,Eastern,44.23356,-76.2235,7,,,,,VR2AR,69,550349,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
FAS,,9,3,,,,,,10/04/2023 18:00,Eastern,44.25392,-76.20937,15,,,,,VR2AR,69,548271,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
FAS,,4,3,,,,,,10/04/2023 18:00,Eastern,44.27368,-76.22503,7,,,,,VR2AR,69,550343,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
FAS,,5,3,,,,,,10/04/2023 18:00,Eastern,44.27426,-76.18686,18,,,,,VR2AR,69,550334,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
EHK,,1,3,,,,,,10/04/2023 18:00,Eastern,44.26053,-76.16472,5,,,,,VR2AR,69,550337,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
FAS,,6,3,,,,,,10/04/2023 18:00,Eastern,44.28513,-76.15443,37,,,,,VR2AR,69,550345,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
FAS,,3,3,,,,,,10/04/2023 18:00,Eastern,44.30721,-76.12515,17,,,,,VR2AR,69,550346,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
FAS,,2,3,,,,,,10/04/2023 18:00,Eastern,44.30207,-76.16269,10,,,,,VR2AR,69,547989,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
FAS,,1,3,,,,,,10/04/2023 18:00,Eastern,44.29335,-76.19798,4,,,,,VR2AR,69,550341,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
BTC,,2,3,,,,,,10/04/2023 18:00,Eastern,44.30278,-76.25416,18,,,,,VR2AR,69,548279,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
BTC,,1,3,,,,,,10/04/2023 18:00,Eastern,44.292,-76.30021,14,,,,,VR2AR,69,550340,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
KNP,,1,3,,,,,,10/04/2023 18:00,Eastern,44.24113,-76.40758,15,,,,,VR2AR,69,550339,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
KNP,,2,3,,,,,,10/04/2023 18:00,Eastern,44.23432,-76.40245,16,,,,,VR2AR,69,550342,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
WHK,,1,3,,,,,,10/04/2023 18:00,Eastern,44.25168,-76.18508,9,,,,,VR2AR,69,550347,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
WHK,,2,3,,,,,,10/04/2023 18:00,Eastern,44.24292,-76.18576,8,,,,,VR2AR,69,548273,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
EHK,,2,3,,,,,,10/04/2023 18:00,Eastern,44.2557,-76.16843,12,,,,,VR2AR,69,548272,,,,,15 months,,,"Wolf, P",,No,ELOMA,No
